id,answer
level3_369,0010
level3_380,1100
level3_382,011
level3_386,011
level3_388,010
level3_392,110
level3_402,110
level3_403,101
level3_405,101
level3_409,110
level3_413,111110
level3_418,011
level3_432,001
level3_437,0101
level3_439,001
level3_443,1111
level3_456,01
level3_457,01
level3_458,110
level3_459,011
level3_462,110
level3_470,0011
level3_473,111
level3_476,1010
level3_478,0001
level3_479,001
level3_486,11
level3_490,01
level3_509,111111
level3_543,110
level3_546,100
level3_547,101
level3_548,001
level3_549,0100
level3_550,0100
level3_557,100
level3_579,110
level3_584,0110
level3_585,0110
level3_589,01
level3_599,111
level3_124,1010
level3_126,0101
level3_134,101
level3_136,0010
level3_140,11
level3_143,1100
level3_148,1000
level3_151,1010
level3_155,010
level3_163,10001
level3_175,0001
level3_179,0010
level3_180,010
level3_182,01
level3_183,001
level3_186,110
level3_193,0001
level3_196,10
level3_202,0001
level3_212,01
level3_213,01
level3_215,10
level3_216,0101
level3_232,1000
level3_239,10
level3_242,10
level3_250,1100
level3_258,10
level3_270,10
level3_276,111
level3_280,01
level3_297,110
level3_298,011
level3_306,0110
level3_312,10
level3_354,10
level3_358,10
level1_362,0100
level1_364,110
level1_365,110
level1_366,101
level1_367,110
level1_368,100
level1_369,0001
level1_370,1000
level1_371,11
level1_373,10
level1_374,11
level1_375,0010
level1_376,111
level1_377,11
level1_378,1010
level1_379,1000
level1_380,1000
level1_382,011
level1_383,110
level1_385,100
level1_386,010
level1_387,100
level1_388,010
level1_389,010
level1_391,1000
level1_392,110
level1_393,1000
level1_394,111
level1_395,100
level1_396,10
level1_397,01
level1_398,10
level1_399,111
level1_401,110
level1_402,110
level1_403,111
level1_404,111
level1_405,101
level1_407,111
level1_409,100
level1_410,1000
level1_411,110
level1_412,110
level1_413,11111
level1_414,110
level1_415,1001
level1_416,1101
level1_417,101
level1_418,011
level1_419,011
level1_421,11111
level1_422,111
level1_424,0100
level1_425,1000
level1_426,1000
level1_427,100
level1_428,100
level1_429,100
level1_430,110
level1_431,110
level1_432,110
level1_434,110
level1_435,110
level1_436,01
level1_437,0110
level1_439,010
level1_440,110
level1_442,1010
level1_443,1111
level1_444,1101
level1_446,11
level1_447,111
level1_448,111
level1_449,0010
level1_450,011
level1_451,001
level1_452,0100
level1_453,110
level1_454,01
level1_455,0010
level1_456,10
level1_457,10
level1_458,110
level1_459,110
level1_460,111
level1_461,1000
level1_462,101
level1_463,110
level1_465,010
level1_466,100
level1_467,010
level1_468,011
level1_469,0010
level1_470,0110
level1_471,0010
level1_472,010
level1_473,111
level1_474,011
level1_475,001
level1_476,1000
level1_477,110
level1_478,1100
